"","mo_organism","get(par_var_name)","n","r","total_R","ab_name","var_name"
"1","Staphylococcus aureus","bl",296,134,0.452702702702703,"MRSA","bl"
"2","Staphylococcus aureus","ur",102,72,0.705882352941177,"MRSA","ur"
