"","mo_organism","get(par_var_name)","n","r","total_R","ab_name","var_name"
"1","Staphylococcus aureus","f",192,100,0.520833333333333,"MRSA","f"
"2","Staphylococcus aureus","m",208,106,0.509615384615385,"MRSA","m"
